Area,Sub Area,"Location
(building; room; etc)",Booth/Bezel,Roles that can staff area?,Booth Description - What's being demonstrated here?  Employees use these descriptions to asses if they should volunteer to staff it
a0m30000003R5Gc,Overall Booth Area,Moscone North,Concierge Area,SDR/BDR,"A Success Concierge is a Salesforce Rockstar. Charismatic, knowledgable, and helpful, Success Concierges are tasked with proactively engaging attendees and, based on their needs and interests, directing them to the most relevant experiences in the Product Showcase."
a0m30000003R5Gc,Foundation Kiosk,Moscone North,Salesforce Foundation,Foundation,You will be talking all things Foundation! Focus on 1-1-1 Model and direct attendees with product related questions or a request for a demo to the Foundation Zone. 
a0m30000003R5Gc,SalesforceIQ,Moscone North,Product Theater,Relate IQ; Marketing,"You will showcase how SalesforceIQ can power small businesses with an out-of-the-box CRM solution that is ready in minutes across our large device theater. Sales Cloud customers can also harness the power of Relationship Intelligence with the SalesforceIQ for Sales Cloud apps (Chrome, iOS and Android)."
a0m30000003R5Gc,SalesforceIQ,Moscone North,Demo Area 1,Relate IQ; Marketing,You will be leading demos for SalesforceIQ for Small Business and SalesforceIQ for Sales Cloud.
a0m30000003R5Gc,SalesforceIQ,Moscone North,Demo Area 2,Relate IQ; Marketing,You will be leading demos for SalesforceIQ for Small Business and SalesforceIQ for Sales Cloud.
a0m30000003R5Gc,SalesforceIQ,Moscone North,Demo Area 3,Relate IQ; Marketing,You will be leading demos for SalesforceIQ for Small Business and SalesforceIQ for Sales Cloud.
a0m30000003R5Gc,SalesforceIQ,Moscone North,Demo Area 4,Relate IQ; Marketing,You will be leading demos for SalesforceIQ for Small Business and SalesforceIQ for Sales Cloud.
a0m30000003R5Gc,SalesforceIQ,Moscone North,Workshop,Relate IQ; Marketing,"Demo SalesforceIQ scenarios to the workshop attendees. In the downtime, you'll be the Ask an Expert station."
a0m30000003R5Gc,SalesforceIQ,Moscone North,Zone Captain,Relate IQ; Marketing,You are the ambassador of the area and are ensuring that things are running smoothly and that people are there for their shifts.
a0m30000003R5Gc,Sales Cloud,Moscone North,Lead Management,Sales Engineer,Demo scenarios that show off how our customers can manage their leads most effectively and grow their pipeline.
a0m30000003R5Gc,Sales Cloud,Moscone North,Salesforce Engage,Pardot,Demo how putting marketing tools in the hands of the sales reps lets our customers get more leads and grow their pipeline.
a0m30000003R5Gc,Sales Cloud,Moscone North,Sales Data,Data.com,Show how Data.com tools can help our customers get more leads and grow.
a0m30000003R5Gc,Sales Cloud,Moscone North,B2B Marketing Automation ,Pardot,Demo how putting marketing tools in the hands of the sales reps lets our customers get more leads and grow their pipeline.
a0m30000003R5Gc,Sales Cloud,Moscone North,Sales Cloud zone floater,SR/BDR; CSG,"Advise customers on where to go next, depending on how much Salesforce knowledge they possess and what their business goals are.
Docents cannot staff this role."
a0m30000003R5Gc,Sales Cloud,Moscone North,Email Integration,Sales Engineer,Walk our customers through the great Microsoft integrations we offer and show them how they can accelerate their sales productivity.
a0m30000003R5Gc,Sales Cloud,Moscone North,Inside Sales,Sales Engineer,Demo all of the great features our customers get with the Sales Console.
a0m30000003R5Gc,Sales Cloud,Moscone North,Territory Management,Sales Engineer,"Teach customers about the productivity gains they'll get by implementing Territory Management.
SE should have a strong understanding of Territory Management functionality."
a0m30000003R5Gc,Sales Cloud,Moscone North,Task Management,Sales Engineer,"Show off the Assistant and advanced task management in the new Lightning Experience, and give customers a tour of the productivity gains their reps will get."
a0m30000003R5Gc,Sales Cloud,Moscone North,Accounts & Contacts,Sales Engineer,Demo to our customers how invaluable it is to keep all of their account & contact records up-to-date and accurate.
a0m30000003R5Gc,Sales Cloud,Moscone North,Opportunity Management,Sales Engineer,Walk our customers through the Opportunity Workspace in the new Lightning Experience and wow them with how they can use it to close more deals.
a0m30000003R5Gc,Sales Cloud,Moscone North,Workflow & Approvals,Sales Engineer,Demo scenarios that show our customers just how much more business they can close by automating their processes.
a0m30000003R5Gc,Sales Cloud,Moscone North,Sales Collaboration,Sales Engineer,"Show customers how the new Lightning Experience can help reps, managers, and teams selling more effectively together."
