Booth Number,Booth,Roles that can staff area?,Booth Description,Tue_1200_200,Tue_1200_230,Tue_200_400,Tue_230_530,Tue_400_600,Tue_530_800,Tue_600_800,Wed_1000_1100,Wed_1000_1230 ,Wed_1100_100,Wed_1200_300,Wed_100_300,Wed_300_500,Wed_300_530,Thu_900_11,Thu_900_1130,Thu_1100_100,Thu_1130_230,Thu_100_300,Thu_230_500,Thu_300_500,Fri_900_1000,Fri_900_1100,Fri_1000_1200,Fri_1100_100,Fri_1200_200,Fri_100_200,TOTAL
1,Concierge Area,SDR/BDR,"A Success Concierge is a Salesforce Rockstar. Charismatic, knowledgable, and helpful, Success Concierges are tasked with proactively engaging attendees and, based on their needs and interests, directing them to the most relevant experiences in the Product Showcase.",3,0,3,0,3,0,3,3,0,3,0,3,3,0,3,0,3,0,3,0,3,3,0,3,0,3,0,45
2,Salesforce Foundation,Foundation,You will be talking all things Foundation! Focus on 1-1-1 Model and direct attendees with product related questions or a request for a demo to the Foundation Zone. ,2,0,2,0,2,0,2,2,0,2,0,2,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,30
3,Product Theater,Relate IQ; Marketing,"You will showcase how SalesforceIQ can power small businesses with an out-of-the-box CRM solution that is ready in minutes across our large device theater. Sales Cloud customers can also harness the power of Relationship Intelligence with the SalesforceIQ for Sales Cloud apps (Chrome, iOS and Android).",2,0,2,0,2,0,2,2,0,2,0,2,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,30
4,Demo Area 1,Relate IQ; Marketing,You will be leading demos for SalesforceIQ for Small Business and SalesforceIQ for Sales Cloud.,2,0,2,0,2,0,2,2,0,2,0,2,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,30
5,Demo Area 2,Relate IQ; Marketing,You will be leading demos for SalesforceIQ for Small Business and SalesforceIQ for Sales Cloud.,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
6,Demo Area 3,Relate IQ; Marketing,You will be leading demos for SalesforceIQ for Small Business and SalesforceIQ for Sales Cloud.,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
7,Demo Area 4,Relate IQ; Marketing,You will be leading demos for SalesforceIQ for Small Business and SalesforceIQ for Sales Cloud.,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
8,Workshop,Relate IQ; Marketing,"Demo SalesforceIQ scenarios to the workshop attendees. In the downtime, you'll be the Ask an Expert station.",2,0,2,0,2,0,2,2,0,2,0,2,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,30
9,Zone Captain,Relate IQ; Marketing,You are the ambassador of the area and are ensuring that things are running smoothly and that people are there for their shifts.,2,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,16
10,Lead Management,Sales Engineer,Demo scenarios that show off how our customers can manage their leads most effectively and grow their pipeline.,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
11,Salesforce Engage,Pardot,Demo how putting marketing tools in the hands of the sales reps lets our customers get more leads and grow their pipeline.,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
12,Sales Data,Data.com,Show how Data.com tools can help our customers get more leads and grow.,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
13,B2B Marketing Automation ,Pardot,Demo how putting marketing tools in the hands of the sales reps lets our customers get more leads and grow their pipeline.,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
14,Sales Cloud zone floater,SR/BDR; CSG,"Advise customers on where to go next, depending on how much Salesforce knowledge they possess and what their business goals are.
Docents cannot staff this role.",3,0,3,0,3,0,2,3,0,3,0,2,2,0,2,0,3,0,3,0,3,2,0,3,0,3,0,40
15,Email Integration,Sales Engineer,Walk our customers through the great Microsoft integrations we offer and show them how they can accelerate their sales productivity.,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
16,Inside Sales,Sales Engineer,Demo all of the great features our customers get with the Sales Console.,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
17,Territory Management,Sales Engineer,"Teach customers about the productivity gains they'll get by implementing Territory Management.
SE should have a strong understanding of Territory Management functionality.",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
18,Task Management,Sales Engineer,"Show off the Assistant and advanced task management in the new Lightning Experience, and give customers a tour of the productivity gains their reps will get.",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
19,Accounts & Contacts,Sales Engineer,Demo to our customers how invaluable it is to keep all of their account & contact records up-to-date and accurate.,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
20,Opportunity Management,Sales Engineer,Walk our customers through the Opportunity Workspace in the new Lightning Experience and wow them with how they can use it to close more deals.,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
21,Workflow & Approvals,Sales Engineer,Demo scenarios that show our customers just how much more business they can close by automating their processes.,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
22,Sales Collaboration,Sales Engineer,"Show customers how the new Lightning Experience can help reps, managers, and teams selling more effectively together.",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
23,Reports & Dashboards,Sales Engineer,"Demo the new, sleeker Dashboards in the Lightning Experience.",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
24,Sales Forecasting,Sales Engineer,"Teach customers about how Forecasting will let them make smarter, more insightful decisions.
SE should have a strong understanding of Forecasting functionality.",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
25,Analytics for Sales ,Sales Engineer,Take customers through a demo of the Sales Wave App to show off our analytics tools.,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
26,Reports & Dashboards,Sales Engineer,"Demo the new, sleeker Dashboards in the Lightning Experience.",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
27,Device Theatre/BSO,Sales Engineer,"Amaze our attendees with all the ways Sales Cloud helps them sell smarter, faster, and the way they want. Demo the new Lightning Experience, Microsoft tools, Wave analytics, and more.",2,0,2,0,2,0,2,2,0,2,0,2,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,30
28,Workshop,Sales Engineer,"Lightning Black Belt Training required.
Demo the Lightning Experience and Salesforce1 mobile scenarios to the workshop attendees. In the downtime, you'll be the Ask an Expert station.",3,0,3,0,3,0,3,3,0,3,0,3,3,0,3,0,3,0,3,0,3,3,0,3,0,3,0,45
29,Zone Captain,Shift Manager,"Marshal the troops and make sure all the booths are staffed, clean, and well-run.",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
30,Lightning Service Console,Sales Engineer,"STAFFING REQUIREMENT: Service Cloud SE Specialist ONLY. This demo station will focus on the updated Service Console and how it enables agents to be more productive and deliver fast, accurate answers.  Staffers should be prepared to answer questions about and demo ALL of the Service Cloud features.",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
31,Case Management,Sales Engineer,"STAFFING REQUIREMENT: Service Cloud SE Specialist ONLY. This demo station will focus on the Service Console, including case feed and macros.  Staffers should be prepared to answer questions about and demo ALL of the Service Cloud features.",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
32,Omni-Channel Service,Sales Engineer,STAFFING REQUIREMENT: Service Cloud SE Specialist ONLY. This demo station will focus on Omni-Channel Service.  Staffers should be prepared to answer questions about and demo ALL of the Service Cloud features.,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
33,Knowledge Centered Support,Sales Engineer,"STAFFING REQUIREMENT: Service Cloud SE Specialist ONLY. This demo station will focus on all of the Knowledgebase features and how it enables agents to be more productive and deliver fast, accurate answers.  Staffers should also be prepared to answer questions about and demo ALL of the Service Cloud features.",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
